iter	Passed	Remaining
0	143	143812
1	145	72738
2	147	48986
3	148	37064
4	150	29923
5	151	25139
6	152	21686
7	153	19092
8	155	17094
9	156	15469
10	157	14131
11	158	13015
12	158	12067
13	159	11256
14	160	10543
15	161	9912
16	161	9356
17	162	8862
18	163	8419
19	163	8021
20	164	7660
21	164	7332
22	165	7026
23	165	6745
24	166	6487
25	166	6248
26	167	6028
27	167	5822
28	168	5632
29	168	5454
30	169	5287
31	169	5131
32	170	4984
33	170	4845
34	171	4715
35	171	4591
36	171	4474
37	172	4364
38	172	4258
39	173	4158
40	173	4063
41	174	3973
42	174	3887
43	175	3804
44	175	3725
45	176	3650
46	176	3578
47	176	3508
48	177	3442
49	177	3378
50	178	3316
51	178	3257
52	179	3201
53	179	3146
54	180	3093
55	180	3042
56	180	2993
57	181	2946
58	181	2900
59	182	2855
60	182	2812
61	183	2771
62	183	2731
63	184	2692
64	184	2655
65	185	2618
66	185	2583
67	185	2545
68	186	2511
69	186	2479
70	187	2447
71	187	2416
72	187	2386
73	188	2357
74	188	2328
75	189	2301
76	189	2273
77	190	2247
78	190	2221
79	191	2196
80	191	2172
81	191	2148
82	192	2125
83	192	2102
84	193	2078
85	193	2057
86	193	2034
87	194	2013
88	194	1993
89	195	1973
90	195	1954
91	196	1935
92	196	1917
93	197	1899
94	197	1881
95	197	1864
96	198	1847
97	198	1830
98	199	1813
99	199	1797
100	200	1782
101	200	1764
102	200	1749
103	201	1734
104	201	1719
105	202	1705
106	202	1691
107	203	1677
108	203	1663
109	203	1650
110	204	1636
111	204	1624
112	205	1611
113	205	1598
114	206	1586
115	206	1573
116	206	1562
117	207	1550
118	207	1538
119	208	1527
120	208	1516
121	209	1505
122	209	1492
123	209	1482
124	210	1471
125	210	1461
126	211	1451
127	211	1440
128	211	1430
129	212	1421
130	212	1411
131	213	1402
132	213	1393
133	214	1384
134	214	1375
135	215	1366
136	215	1357
137	215	1348
138	216	1339
139	216	1331
140	217	1323
141	217	1315
142	218	1306
143	218	1298
144	218	1291
145	219	1283
146	219	1275
147	220	1268
148	220	1260
149	221	1253
150	221	1246
151	222	1238
152	222	1231
153	222	1224
154	223	1217
155	223	1211
156	224	1204
157	224	1197
158	225	1191
159	225	1184
160	226	1178
161	226	1171
162	227	1165
163	227	1159
164	227	1153
165	228	1147
166	228	1141
167	229	1135
168	229	1129
169	230	1123
170	230	1117
171	231	1112
172	231	1106
173	231	1100
174	232	1095
175	232	1089
176	233	1084
177	233	1079
178	234	1074
179	234	1068
180	234	1062
181	235	1057
182	235	1052
183	236	1047
184	236	1042
185	237	1037
186	237	1032
187	237	1027
188	238	1022
189	238	1018
190	239	1013
191	239	1008
192	240	1004
193	240	999
194	241	995
195	241	990
196	241	986
197	242	981
198	242	977
199	243	973
200	243	968
201	244	964
202	244	960
203	245	956
204	245	951
205	245	947
206	246	943
207	246	939
208	247	935
209	247	931
210	248	927
211	248	924
212	249	920
213	249	916
214	250	912
215	250	909
216	250	905
217	251	901
218	251	897
219	252	894
220	252	890
221	253	887
222	253	883
223	253	879
224	254	876
225	254	873
226	255	869
227	255	866
228	256	862
229	256	859
230	257	855
231	257	852
232	258	849
233	258	846
234	258	842
235	259	839
236	259	836
237	260	833
238	260	830
239	261	827
240	261	823
241	262	820
242	262	817
243	262	814
244	263	811
245	263	808
246	264	805
247	264	802
248	265	799
249	265	797
250	266	794
251	266	791
252	267	788
253	267	785
254	267	782
255	268	780
256	268	777
257	269	774
258	269	772
259	270	769
260	270	766
261	271	763
262	271	761
263	272	758
264	272	755
265	273	753
266	273	750
267	273	748
268	274	745
269	274	743
270	275	740
271	275	738
272	276	735
273	276	733
274	277	730
275	277	728
276	278	725
277	278	723
278	279	721
279	279	718
280	279	716
281	280	713
282	280	711
283	281	709
284	281	706
285	282	704
286	282	702
287	283	700
288	283	697
289	284	695
290	284	693
291	285	691
292	285	688
293	285	686
294	286	684
295	286	682
296	287	680
297	287	677
298	288	675
299	288	673
300	289	671
301	289	669
302	290	667
303	290	665
304	290	662
305	291	660
306	291	658
307	292	656
308	292	654
309	293	652
310	293	650
311	294	648
312	294	646
313	295	644
314	295	642
315	296	640
316	296	638
317	296	636
318	297	634
319	297	632
320	298	630
321	298	629
322	299	627
323	299	625
324	300	623
325	300	621
326	301	619
327	301	617
328	302	615
329	302	614
330	302	612
331	303	610
332	303	608
333	304	606
334	304	605
335	305	603
336	305	601
337	306	599
338	306	597
339	307	596
340	307	594
341	308	592
342	308	590
343	308	589
344	309	587
345	309	585
346	310	584
347	310	582
348	311	580
349	311	579
350	312	577
351	312	575
352	313	574
353	313	572
354	314	570
355	314	569
356	315	567
357	315	565
358	315	564
359	316	562
360	316	560
361	317	559
362	317	557
363	318	555
364	318	554
365	319	552
366	319	551
367	319	549
368	320	547
369	320	546
370	321	544
371	321	543
372	322	541
373	322	540
374	323	538
375	323	536
376	323	535
377	324	534
378	325	532
379	325	531
380	325	529
381	326	527
382	326	526
383	327	524
384	327	523
385	328	521
386	328	520
387	329	518
388	329	517
389	329	516
390	330	514
391	330	513
392	331	511
393	331	510
394	332	508
395	332	507
396	333	505
397	333	504
398	333	502
399	334	501
400	334	500
401	335	498
402	335	497
403	336	495
404	336	494
405	337	493
406	337	491
407	338	490
408	338	489
409	338	487
410	339	486
411	339	485
412	340	483
413	340	482
414	341	481
415	341	479
416	342	478
417	342	477
418	343	475
419	343	474
420	344	473
421	344	471
422	345	470
423	345	469
424	345	468
425	346	466
426	346	465
427	347	464
428	347	462
429	348	461
430	348	460
431	349	458
432	349	457
433	349	456
434	350	455
435	350	453
436	351	452
437	351	451
438	352	449
439	352	448
440	353	447
441	353	446
442	353	444
443	354	443
444	354	442
445	355	441
446	355	440
447	356	438
448	356	437
449	357	436
450	357	435
451	358	434
452	358	432
453	358	431
454	359	430
455	359	429
456	360	428
457	360	426
458	361	425
459	361	424
460	362	423
461	362	422
462	363	421
463	363	419
464	363	418
465	364	417
466	364	416
467	365	415
468	365	414
469	366	412
470	366	411
471	367	410
472	367	409
473	368	408
474	368	407
475	369	406
476	369	405
477	369	403
478	370	402
479	370	401
480	371	400
481	371	399
482	372	398
483	372	397
484	373	396
485	373	395
486	373	393
487	374	392
488	374	391
489	375	390
490	375	389
491	376	388
492	376	387
493	377	386
494	377	385
495	378	384
496	379	383
497	379	382
498	380	381
499	380	380
500	380	379
501	381	378
502	381	377
503	382	376
504	382	375
505	383	374
506	383	373
507	384	372
508	384	371
509	385	370
510	385	369
511	386	368
512	386	367
513	387	366
514	387	365
515	388	364
516	388	363
517	389	361
518	389	360
519	389	359
520	390	358
521	390	357
522	391	356
523	391	355
524	392	354
525	392	353
526	393	352
527	393	351
528	393	350
529	394	349
530	394	348
531	395	347
532	395	346
533	396	345
534	396	345
535	397	344
536	398	343
537	398	342
538	399	341
539	399	340
540	400	339
541	400	338
542	400	337
543	401	336
544	401	335
545	402	334
546	402	333
547	403	332
548	403	331
549	404	330
550	404	329
551	405	328
552	405	327
553	405	326
554	406	325
555	406	324
556	407	324
557	407	323
558	408	322
559	408	321
560	409	320
561	409	319
562	410	318
563	410	317
564	411	316
565	411	315
566	411	314
567	412	313
568	412	312
569	413	311
570	413	310
571	414	309
572	414	309
573	415	308
574	415	307
575	416	306
576	416	305
577	416	304
578	417	303
579	417	302
580	418	301
581	418	300
582	419	299
583	419	298
584	420	298
585	420	297
586	421	296
587	421	295
588	422	294
589	422	293
590	422	292
591	423	291
592	423	290
593	424	290
594	424	289
595	425	288
596	425	287
597	426	286
598	426	285
599	427	284
600	427	283
601	427	282
602	428	282
603	428	281
604	429	280
605	429	279
606	430	278
607	430	277
608	431	276
609	431	275
610	432	275
611	432	274
612	432	273
613	433	272
614	433	271
615	434	270
616	434	269
617	435	269
618	435	268
619	436	267
620	436	266
621	437	265
622	437	264
623	438	263
624	438	263
625	439	262
626	439	261
627	439	260
628	440	259
629	440	258
630	441	258
631	441	257
632	442	256
633	442	255
634	443	254
635	443	253
636	443	252
637	444	252
638	444	251
639	445	250
640	445	249
641	446	248
642	446	247
643	447	247
644	447	246
645	447	245
646	448	244
647	448	243
648	449	243
649	449	242
650	450	241
651	450	240
652	451	239
653	451	238
654	452	238
655	452	237
656	452	236
657	453	235
658	453	234
659	454	234
660	454	233
661	455	232
662	455	231
663	456	230
664	456	229
665	456	229
666	457	228
667	457	227
668	458	226
669	458	225
670	459	225
671	459	224
672	460	223
673	460	222
674	461	222
675	461	221
676	462	220
677	462	219
678	462	218
679	463	218
680	463	217
681	464	216
682	464	215
683	465	214
684	465	214
685	466	213
686	466	212
687	467	211
688	467	211
689	468	210
690	468	209
691	469	208
692	469	208
693	470	207
694	470	206
695	470	205
696	471	204
697	471	204
698	472	203
699	472	202
700	473	201
